,SSIM,PSNR
bike-packing,0.9763655066490173,30.04310417175293
blackswan,0.9879015684127808,31.772151947021484
bmx-trees,0.9836763739585876,29.814916610717773
breakdance,0.9437230229377747,23.179794311523438
camel,0.9878084063529968,35.55868148803711
car-roundabout,0.9812611937522888,31.555383682250977
car-shadow,0.9099549651145935,24.63844108581543
cows,0.9973016977310181,51.208091735839844
dance-twirl,0.9981922507286072,53.66142272949219
dog,0.9999232888221741,78.31761932373047
dogs-jump,0.9934746623039246,34.131282806396484
drift-chicane,0.9999409317970276,78.70248413085938
drift-straight,0.8598467707633972,21.154905319213867
goat,0.9999904036521912,79.62823486328125
gold-fish,0.9235169291496277,21.23436164855957
horsejump-high,0.9945425987243652,40.127437591552734
india,0.9907745122909546,39.08525466918945
judo,0.9926306009292603,37.2515754699707
kite-surf,0.9998080134391785,75.88715362548828
lab-coat,0.8299335241317749,14.794795989990234
libby,1.0,80.0
loading,0.8870732188224792,18.695289611816406
mbike-trick,0.9986639022827148,65.0428237915039
motocross-jump,0.9946232438087463,64.98566436767578
paragliding-launch,0.9991018772125244,67.97096252441406
parkour,0.9985137581825256,57.78153610229492
pigs,1.0,80.0
scooter-black,0.8878298997879028,21.980472564697266
shooting,0.9994773864746094,68.84834289550781
soapbox,0.9838588237762451,37.82802200317383
