,SSIM,PSNR,LPISP
bike-packing,0.9769169092178345,30.495784759521484,0.02599615976214409
blackswan,0.9961235523223877,43.71733474731445,0.0009506361675448716
bmx-trees,0.9843723177909851,30.007986068725586,0.01306912861764431
breakdance,0.9423565864562988,22.487112045288086,0.07740837335586548
camel,0.9939272403717041,39.77106857299805,0.0014050977770239115
car-roundabout,0.9825052618980408,32.45505142211914,0.010068530216813087
car-shadow,0.9625647068023682,31.284517288208008,0.015303175896406174
cows,0.9994186758995056,70.5942611694336,0.00012614774459507316
dance-twirl,0.9982370734214783,52.80412673950195,0.0002470194303896278
dog,0.9999536871910095,79.33719635009766,1.431833970855223e-05
dogs-jump,0.9936215877532959,35.40988540649414,0.006558469031006098
drift-chicane,1.0,80.0,0.0
drift-straight,0.8855343461036682,23.151042938232422,0.07483741641044617
goat,0.9999904036521912,79.62823486328125,2.9686361813219264e-06
gold-fish,0.9236194491386414,21.235218048095703,0.1280275285243988
horsejump-high,0.9965219497680664,48.009796142578125,0.0007488752598874271
india,0.991470456123352,39.98249816894531,0.004708040971308947
judo,0.9943658113479614,38.03746032714844,0.005275345873087645
kite-surf,1.0,80.0,0.0
lab-coat,0.826061487197876,14.756606101989746,0.13962535560131073
libby,0.9999685883522034,79.3106918334961,6.30568001724896e-06
loading,0.8944033980369568,19.195493698120117,0.12367528676986694
mbike-trick,0.9986281991004944,64.97511291503906,0.00058789795730263
motocross-jump,0.9966906309127808,67.71376037597656,0.00441200053319335
paragliding-launch,0.9991733431816101,69.58586120605469,0.00022287285537458956
parkour,0.9961655139923096,51.09425735473633,0.0054449825547635555
pigs,1.0,80.0,0.0
scooter-black,0.8976038694381714,22.617870330810547,0.08687707036733627
shooting,0.9998815655708313,74.40160369873047,0.00010358875442761928
soapbox,0.9876052141189575,38.66543197631836,0.0058354870416224
